pid,mu,sigma
276.0,1201.8439848655166,117.23185399519895
277.0,1372.1794962082454,199.05012290113183
278.0,977.01499182999135,350.39959134093789
279.0,1664.9108981983816,417.66912827986573
280.0,1656.4154421006051,95.743639563181617
281.0,934.68173130731509,370.92394458330836
282.0,1219.5107239712702,387.94016145421068
283.0,1421.9969850025,101.02493636771813
284.0,677.14377116407104,206.1194323918906
285.0,1113.3786280770482,95.372059839281889
286.0,1081.7478823100062,283.79847087916363
287.0,1070.5374533959543,371.28044880125162
288.0,810.17502818331059,221.77277016948167
289.0,1250.6043250698658,394.95881331009031
290.0,1384.2892403355897,90.176711153210221
291.0,882.65428792491423,305.20437600307139
292.0,1336.4850311665468,255.20685151859453
293.0,1088.9420419362766,313.55750295581663
294.0,1311.1180660433122,161.7461047844441
295.0,1626.1065140516998,130.44292337555265
296.0,1459.8574187391687,92.461055802588348
297.0,1771.8178690241627,92.439618880022479
298.0,1814.6299120797776,91.445119912064627
299.0,603.84982066751888,279.38081242549407
300.0,1763.3273571658865,412.7761433020716
301.0,1110.6818775628117,247.86673553073308
302.0,1753.1879004286395,204.17687985761478
303.0,1512.5832308861825,158.88595441735586
304.0,910.89266941086396,343.88875358587745
305.0,979.92234926515505,337.95650258377276
306.0,1366.3088400364584,312.62268393547441
307.0,966.43306612359447,312.40720675590711
308.0,1251.6198197767292,372.1414214436054
309.0,1683.722577432173,324.76776483782072
310.0,1214.1002006496608,108.45870392009626
311.0,977.55664206263987,243.80206584873525
312.0,1308.0771938049184,331.20690676567153
313.0,1331.2089725115463,170.07934611218499
314.0,991.42614840227179,315.29720180759028
315.0,1267.4802744447629,282.38917461568894
316.0,887.57905577558608,323.08680804151328
317.0,1500.0,385.30415773853036
318.0,874.39938565147111,310.46282321854187
319.0,1075.0974217005387,231.73814876582125
320.0,1086.5225392983912,334.64747553659026
321.0,877.63523210766061,288.15141110134022
322.0,1575.9739122883564,97.829016364542426
323.0,999.78396992346461,282.09742071434977
324.0,1432.1854689458012,140.75995898466664
325.0,1225.4910521243705,402.42079244224885
326.0,1300.0730999456052,326.69253630114781
327.0,1266.2751752475924,190.74218625285701
328.0,1609.7442102642667,97.86959979275359
329.0,1091.044090090752,365.2606522937736
330.0,823.36914151660449,336.07903847545623
331.0,1287.299747758565,249.44214054231426
332.0,1527.5343648543801,360.48752058313977
333.0,1237.2143368973543,162.7433957003347
334.0,1775.2683851269517,123.32447397141839
335.0,948.55165579464358,347.49661287394861
336.0,1070.0631101914992,362.4371143383558
337.0,1496.8207138816103,365.52349938951619
338.0,1195.8828264154779,383.22057930182552
339.0,775.41697745783836,300.83893183801462
340.0,1361.4568051032861,426.4154664262133
341.0,906.88325783891185,210.14075188392195
342.0,840.1767775026201,94.277966900831714
343.0,1546.2220875172752,95.69107988885483
344.0,1170.3780333540758,378.42085637877574
345.0,2022.2441825489639,91.363008615709035
346.0,1759.7167312000092,430.02370744523364
347.0,1039.9096731223535,148.54623175458337
348.0,1280.033878113946,406.79362541522158
349.0,1209.3996527674512,385.85997595980069
350.0,1015.8800735106406,326.53553288910331
351.0,1570.1474384834867,97.422250884193986
352.0,1488.3827262535913,93.944793035109043
353.0,1354.9480695713382,92.294434966592306
354.0,1258.0676061626473,396.78747109144479
355.0,1619.3578569159974,203.00396663373388
356.0,1624.1852342370576,92.607647140697296
357.0,1305.5582879530559,91.520577969062089
358.0,1413.425759964101,91.698044573291284
